County,1987,1992,1997,2002,2007,2012,2017
Linn,93.07947493,107.025179,118.4115879,104.8635499,124.0539362,110.1195048,97.4091922
Lane,50.4737997,50.01081664,54.57793763,56.52773209,67.48568571,74.13446537,52.90364875
Benton,81.2456777,95.26005917,104.6096851,103.5233282,126.1243772,100.6890092,95.25458348
