TYPE,FULLCODE,STATE,COUNTY,TRACT,BLOCK,PLACE,COUSUB,CONCITY,AIANNH,SHEETS
Block,410030002022000,41,3,2.02,2000,15800,90680,,,3
Block,410030002022001,41,3,2.02,2001,15800,90680,,,3
Block,410030002022002,41,3,2.02,2002,15800,90680,,,3
Block,410030002022003,41,3,2.02,2003,15800,90680,,,3
Block,410030002022004,41,3,2.02,2004,15800,90680,,,3
Block,410030002022005,41,3,2.02,2005,15800,90680,,,3
Block,410030002022006,41,3,2.02,2006,15800,90680,,,3
Block,410030002022007,41,3,2.02,2007,15800,90680,,,3
Block,410030002022008,41,3,2.02,2008,15800,90680,,,3
Block,410030002022009,41,3,2.02,2009,15800,90680,,,3
Block,410030002022010,41,3,2.02,2010,15800,90680,,,3
Block,410030002022011,41,3,2.02,2011,15800,90680,,,3
Block,410030002022012,41,3,2.02,2012,15800,90680,,,3
Block,410030002022013,41,3,2.02,2013,15800,90680,,,3
Block,410030002023000,41,3,2.02,3000,15800,90680,,,3
Block,410030002023001,41,3,2.02,3001,15800,90680,,,3
Block,410030002023002,41,3,2.02,3002,15800,90680,,,3
Block,410030002023003,41,3,2.02,3003,15800,90680,,,3
Block,410030002023004,41,3,2.02,3004,15800,90680,,,3
Block,410030002023005,41,3,2.02,3005,15800,90680,,,3
Block,410030002023006,41,3,2.02,3006,15800,90680,,,3
Block,410030002023008,41,3,2.02,3008,15800,90680,,,3
Block,410030002023010,41,3,2.02,3010,15800,90680,,,3
Block,410030002023011,41,3,2.02,3011,15800,90680,,,3
Block,410030002023012,41,3,2.02,3012,15800,90680,,,3
Block,410030002023013,41,3,2.02,3013,15800,90680,,,3
Block,410030002023014,41,3,2.02,3014,15800,90680,,,3
Block,410030002023016,41,3,2.02,3016,15800,90680,,,3
Block,410030002023017,41,3,2.02,3017,15800,90680,,,3
Block,410030002023026,41,3,2.02,3026,15800,90680,,,3
Block,410030002023029,41,3,2.02,3029,15800,90680,,,3
Block,410030004011000,41,3,4.01,1000,15800,90680,,,"1,2"
Block,410030004011001,41,3,4.01,1001,15800,90680,,,1
Block,410030004011002,41,3,4.01,1002,15800,90680,,,1
Block,410030004011003,41,3,4.01,1003,15800,90680,,,1
Block,410030004011004,41,3,4.01,1004,15800,90680,,,1
Block,410030004011005,41,3,4.01,1005,15800,90680,,,1
Block,410030004011006,41,3,4.01,1006,15800,90680,,,1
Block,410030004011007,41,3,4.01,1007,15800,90680,,,1
Block,410030004011008,41,3,4.01,1008,15800,90680,,,1
Block,410030004011009,41,3,4.01,1009,15800,90680,,,1
Block,410030004011010,41,3,4.01,1010,15800,90680,,,1
Block,410030004011011,41,3,4.01,1011,15800,90680,,,1
Block,410030004011012,41,3,4.01,1012,15800,90680,,,1
Block,410030004011013,41,3,4.01,1013,15800,90680,,,1
Block,410030004012000,41,3,4.01,2000,15800,90680,,,2
Block,410030004012001,41,3,4.01,2001,15800,90680,,,2
Block,410030004012002,41,3,4.01,2002,15800,90680,,,2
Block,410030004012003,41,3,4.01,2003,15800,90680,,,2
Block,410030004012004,41,3,4.01,2004,15800,90680,,,2
Block,410030004012005,41,3,4.01,2005,15800,90680,,,2
Block,410030004012006,41,3,4.01,2006,15800,90680,,,2
Block,410030004012007,41,3,4.01,2007,15800,90680,,,2
Block,410030004012008,41,3,4.01,2008,15800,90680,,,2
Block,410030004012009,41,3,4.01,2009,15800,90680,,,2
Block,410030004012010,41,3,4.01,2010,15800,90680,,,2
Block,410030004012011,41,3,4.01,2011,15800,90680,,,"1,2"
Block,410030004012012,41,3,4.01,2012,15800,90680,,,"1,2"
Block,410030004012013,41,3,4.01,2013,15800,90680,,,"1,2"
Block,410030004012014,41,3,4.01,2014,15800,90680,,,2
Block,410030004012015,41,3,4.01,2015,15800,90680,,,1
Block,410030004012016,41,3,4.01,2016,15800,90680,,,1
Block,410030004012017,41,3,4.01,2017,15800,90680,,,1
Block,410030004012018,41,3,4.01,2018,15800,90680,,,1
Block,410030004012019,41,3,4.01,2019,15800,90680,,,1
Block,410030004012020,41,3,4.01,2020,15800,90680,,,1
Block,410030004021003,41,3,4.02,1003,15800,90680,,,"1,2"
Block,410030004021004,41,3,4.02,1004,15800,90680,,,2
Block,410030004021005,41,3,4.02,1005,15800,90680,,,2
Block,410030004021008,41,3,4.02,1008,15800,90680,,,2
Block,410030004021009,41,3,4.02,1009,15800,90680,,,2
Block,410030004021010,41,3,4.02,1010,15800,90680,,,2
Block,410030004021011,41,3,4.02,1011,15800,90680,,,2
Block,410030004021012,41,3,4.02,1012,15800,90680,,,2
Block,410030004021013,41,3,4.02,1013,15800,90680,,,2
Block,410030004021014,41,3,4.02,1014,15800,90680,,,2
Block,410030004021015,41,3,4.02,1015,15800,90680,,,2
Block,410030004021016,41,3,4.02,1016,15800,90680,,,2
Block,410030004021017,41,3,4.02,1017,15800,90680,,,2
Block,410030004022000,41,3,4.02,2000,15800,90680,,,1
Block,410030004022001,41,3,4.02,2001,15800,90680,,,1
